월,사용량(kWh)
2022-01-01,3804822207
2022-02-01,3654542392
2022-03-01,3207180776
2022-04-01,3014802240
2022-05-01,2942608989
2022-06-01,3209364516
2022-07-01,3930106057
2022-08-01,4358969335
2022-09-01,3646166621
2022-10-01,3053556372
2022-11-01,2981985169
2022-12-01,3457960224
2023-01-01,3932222771
2023-02-01,3659670937
2023-03-01,3075340854
2023-04-01,2957692657
2023-05-01,2929624414
2023-06-01,3269089370
2023-07-01,3854345531
2023-08-01,4482928221
2023-09-01,3994713857
2023-10-01,3078180002
2023-11-01,3061132414
2023-12-01,3461256076
2024-01-01,3846509111
2024-02-01,3634703405
2024-03-01,3222516349
2024-04-01,3054599953
2024-05-01,2941999750
2024-06-01,3306192115
2024-07-01,3926081003
2024-08-01,4744205431
2024-09-01,4465808723
2024-10-01,3329511968
2024-11-01,3048062928
2024-12-01,3419181272
